vendor_code,month,imp_code,service_name,unit_price,currency,unit
DHL,2024-03,IMP-002,הובלה אווירית,1240.0,USD,per shipment
DHL,2024-03,IMP-003,היטל דלק,13.0,PCT,% מהבסיס
DHL,2024-03,IMP-004,עמלת טיפול,80.0,USD,per shipment
DHL,2024-04,IMP-002,הובלה אווירית,1240.0,USD,per shipment
DHL,2024-04,IMP-003,היטל דלק,15.0,PCT,% מהבסיס
DHL,2024-04,IMP-004,עמלת טיפול,80.0,USD,per shipment
FRDN,2024-03,IMP-010,דמי שחרור,230.0,ILS,per B/L
FRDN,2024-03,IMP-011,אגרת מחשב,42.0,ILS,per B/L
FRDN,2024-03,IMP-012,דמי אחסנה,16.0,ILS,per day
FRDN,2024-04,IMP-010,דמי שחרור,250.0,ILS,per B/L
FRDN,2024-04,IMP-011,אגרת מחשב,45.0,ILS,per B/L
FRDN,2024-04,IMP-012,דמי אחסנה,18.0,ILS,per day
ORSHAR,2025-09,IMP-020,דמי מכס,89.0,ILS,per B/L
ORSHAR,2025-09,IMP-030,עמילות,250.0,ILS,per shipment
KLAL,2024-03,IMP-030,דמי סוכן,170.0,ILS,per shipment
KLAL,2024-03,IMP-031,שחרור מסמכים,85.0,ILS,per set
KLAL,2024-04,IMP-030,דמי סוכן,180.0,ILS,per shipment
KLAL,2024-04,IMP-031,שחרור מסמכים,85.0,ILS,per set
